"Id","Predicted"
3016,225155.903740767
5492,249063.054494627
2757,91904.4046985773
1397,174937.417336804
510,95811.8451477354
4985,457408.400948659
2071,222978.669022648
1130,162189.198118392
4438,91206.5602660717
2126,195189.615270036
5663,285188.89211404
5579,438913.21620989
1367,318454.55128337
1550,186011.675588059
1444,110602.933737901
1594,205689.272814892
5351,240073.938492515
581,160918.414274892
3968,386007.620757416
5679,289085.65045938
436,244256.585731537
3441,459273.487975042
155,290242.969020741
1822,169729.152078154
1303,110178.401219458
3683,181759.150123712
4141,226969.730028394
4420,537932.251058434
21,36384.9605914582
5769,327810.65256855
5717,322964.389488755
2423,226486.746966799
2556,263731.374683023
3789,266387.578650295
1484,135356.671702733
504,294462.391181413
5537,219695.174813625
3140,358824.498554921
2766,393906.166172998
2247,113167.665015983
3104,220325.892600324
5618,456628.972407731
4087,285587.382804572
5851,277584.729917616
5140,236829.15589019
1999,199088.807607627
3938,443605.0268274
4751,191054.619039729
81,132592.352170778
3181,207601.361437238
4108,124936.249883166
4840,57244.3808924523
2488,151591.27432628
216,184345.218669373
5076,272208.207846942
3581,361421.878304307
1464,274653.055302536
973,86084.7915389422
5108,322979.281544482
4220,238118.281776396
2277,209269.752666053
99,219497.399604358
3788,321670.743988178
3217,252330.441029339
2647,152261.561586866
1319,111029.102038468
3231,85963.2318544727
5173,417818.354067888
466,137721.052299421
1451,98078.2771467504
83,83362.1892615899
5244,301497.239445394
819,236312.340019408
2981,121783.465475516
5486,319121.823232924
3816,447499.657876069
4684,131761.946295402
2737,374173.166475215
3596,447074.718188411
3762,227018.261991823
3801,235023.214847864
3800,242366.286031414
223,274567.55407569
2160,206100.227614138
4491,88784.0214937559
5832,403948.187530109
2031,118574.606731873
4277,260979.664729593
4687,197023.934319766
172,213501.852597333
2814,218395.136825913
4579,199310.201907725
5026,269085.734452103
770,209959.609677625
1371,104403.230472473
389,81627.4130956367
3175,213082.266264083
5100,146646.477858118
1911,46967.8856062944
5320,280757.142629886
2866,226894.359822877
3479,133104.743075914
649,176495.293612817
2845,225155.903740767
5343,164009.373622805
1547,269422.795090581
3773,130068.59455451
3956,216652.636700521
3815,430616.732347235
1621,190039.064241558
4066,89814.2721146799
5644,162117.117856542
1485,192093.088659313
4896,94817.7571412652
2693,216746.760037502
3785,443382.883648541
1292,104805.510464518
3431,218453.490279853
3311,134640.222173751
5831,309805.973012796
5807,285188.89211404
3476,101606.810243469
5008,101926.254804415
5086,242488.686465499
1456,176543.557766086
2566,193644.493165912
2832,214176.092269193
1684,147696.018513038
1897,144700.569893052
4362,61806.0535212696
5179,255979.83415114
2591,212153.370538656
2700,273121.078541179
1156,179378.655987454
1478,100754.416671774
4719,136927.8559309
3669,100055.759994561
3138,94792.5352171186
5234,306967.857925056
5723,293560.443768316
1789,139637.77063387
2169,161006.481596755
3667,427317.363081326
1325,111886.371221835
1153,101923.571870992
1245,106430.19067385
3283,172819.556635239
5229,300221.113693549
2062,167138.199336434
1161,374028.438218188
5215,233249.649619349
2098,334904.978072583
75,262527.75007779
3517,382131.792412
501,67180.4210378277
5709,399314.537874823
709,92908.9942163319
633,248242.976023
1762,350821.291660071
5870,156011.395457317
4742,198545.180048832
265,42547.7975301936
5004,430872.681138089
2657,203938.927365519
1022,65829.884339773
3327,329558.551801809
2964,216661.393659409
3715,264346.527005535
3998,253847.98397686
3692,82180.6184327112
4952,489249.568657749
2602,202917.876556034
2810,118548.773079697
5570,194439.009328643
2171,329792.580110722
1715,46967.8856062944
2485,193993.769645975
5098,398974.690069406
804,146138.704996566
4629,196267.687950854
4676,136402.279207401
